old_name,new_name,section,row,seat
103__anonymous-20231105015558.jpg,section103-1.jpg,103,,
118__shinpainpapi-20240111002526.jpg,section118-1.jpg,118,,
126__ArielMV07-20230911073447.jpg,section126-1.jpg,126,,
126__SUCKAFREE714-20200301210047.jpg,section126-2.jpg,126,,
139__Lalopadilla-20240416201005-94.jpg,section139-1.jpg,139,,
207__cornball653-20230419201705.jpg,section207-1.jpg,207,,
229__Lalopadilla-20240416200417-81.jpg,section229-1.jpg,229,,
246__ArielMV07-20240302144020.jpg,section246-1.jpg,246,,
303__anonymous-20181028003515.jpg,section303-1.jpg,303,,
314__HectorNev95-20230918221121.jpg,section314-1.jpg,314,,
324__anonymous-20211129100425.jpg,section324-1.jpg,324,,
324__FCG23US-20211129100934.jpg,section324-2.jpg,324,,
324__FCG23US-20211129101110.jpg,section324-3.jpg,324,,
330__Lalopadilla-20240416201918-79.jpg,section330-1.jpg,330,,
342__blufabric-20260504085957-22.jpg,section342-1.jpg,342,,
342__blufabric-20260504090533-6.jpg,section342-2.jpg,342,,
514__anonymous-20230918204656.jpg,section514-1.jpg,514,,
552__dio4us-20190105133319.jpg,section552-1.jpg,552,,
613__Lalopadilla-20240416201356-58.jpg,section613-1.jpg,613,,
