old_name,new_name,section,row,seat
OTE222__anonymous-20250427220151-47.jpg,sectionOTE222-1.jpg,OTE222,,
OTE243__anonymous-20220214061349.jpg,sectionOTE243-1.jpg,OTE243,,
PTE101__agzzm-20150906101858.jpg,sectionPTE101-1.jpg,PTE101,,
PTE102__anonymous-20250405201442-25.jpg,sectionPTE102-1.jpg,PTE102,,
PTE106__anonymous-20260412004906-42.jpg,sectionPTE106-1.jpg,PTE106,,
PTE136__anonymous-20211029125741.jpg,sectionPTE136-1.jpg,PTE136,,
PTE208__agzzm-20150804003050.jpg,sectionPTE208-1.jpg,PTE208,,
PTE208__anonymous-20211029125427.jpg,sectionPTE208-2.jpg,PTE208,,
PTE223__anonymous-20190804143825.jpg,sectionPTE223-1.jpg,PTE223,,
CSO-B__anonymous-20260405005315-76.jpg,sectionunknown-1.jpg,unknown,,
