old_name,new_name,section,row,seat
102__AntC9973-20250622002357.jpg,section102-1.jpg,102,,
107__Dghost03-20250621165742.jpg,section107-1.jpg,107,,
121__andymontes-20180801004950.jpg,section121-1.jpg,121,,
122__arely-20250707121948.jpg,section122-1.jpg,122,,
130__anonymous-20170731025511.jpg,section130-1.jpg,130,,
130__AntC9973-20250624191227.jpg,section130-2.jpg,130,,
130__AntC9973-20251011002227.jpg,section130-3.jpg,130,,
139__MortalAce-20250623193138.jpg,section139-1.jpg,139,,
139T__ConcertLover1-20250620024712-55.jpg,section139T-1.jpg,139T,,
150__anonymous-20250627161233.jpg,section150-1.jpg,150,,
153t__Lordabby-20240701173645-57.jpg,section153t-1.jpg,153t,,
212__JDMFA1-20190909155741.jpg,section212-1.jpg,212,,
231__AntC9973-20250619061816.jpg,section231-1.jpg,231,,
231__AntC9973-20250622073644.jpg,section231-2.jpg,231,,
232__julieta-20240627114538-72.jpg,section232-1.jpg,232,,
235__Rcg954-20251002105450-57.jpg,section235-1.jpg,235,,
318__anonymous-20240705212623-93.jpg,section318-1.jpg,318,,
344__Marichelle-20250618160919-6.jpg,section344-1.jpg,344,,
