old_name,new_name,section,row,seat
101__Jimmy237-20160621005650.jpg,section101-1.jpg,101,,
104__carlos12167-20230720024836.jpg,section104-1.jpg,104,,
107__anonymous-20160604155858.jpg,section107-1.jpg,107,,
108__joebarnin-20260227124940-55.jpg,section108-1.jpg,108,,
111__Cosa925-20230706162448.jpg,section111-1.jpg,111,,
143__anonymous-20140907103935.jpg,section143-1.jpg,143,,
143__anonymous-20140907104017.jpg,section143-2.jpg,143,,
143__anonymous-20140907104104.jpg,section143-3.jpg,143,,
146__prinz97-20240703001023-38.jpg,section146-1.jpg,146,,
201__rushexmachina-20240624154213-28.jpg,section201-1.jpg,201,,
204__capija-20230707030726.jpg,section204-1.jpg,204,,
208__badandy0015-20140817173648.jpg,section208-1.jpg,208,,
211__anonymous-20140809195753.jpg,section211-1.jpg,211,,
233__Bobad76-20230705171557.jpg,section233-1.jpg,233,,
243__anonymous-20170727010933.jpg,section243-1.jpg,243,,
407__anonymous-20170726002934.jpg,section407-1.jpg,407,,
412__epzona-20250914011641-12.jpg,section412-1.jpg,412,,
C137__mjsocial2016-20160606132148.jpg,sectionC137-1.jpg,C137,,
C137__mjsocial2016-20160606133515.jpg,sectionC137-2.jpg,C137,,
C137__mjsocial2016-20160606133843.jpg,sectionC137-3.jpg,C137,,
C137__mjsocial2016-20160606134158.jpg,sectionC137-4.jpg,C137,,
C138__bichopadilla-20190404064345.jpg,sectionC138-1.jpg,C138,,
C138__jaiii-20220520143936.jpg,sectionC138-2.jpg,C138,,
C140__SergioH-20230702203243.jpg,sectionC140-1.jpg,C140,,
C214__joebarnin-20260227131029-89.jpg,sectionC214-1.jpg,C214,,
C237__Bobad76-20230508120801.jpg,sectionC237-1.jpg,C237,,
C240__anonymous-20250706143425-60.jpg,sectionC240-1.jpg,C240,,
