old_name,new_name,section,row,seat
103__anonymous-20180909034246.jpg,section103-1.jpg,103,,
103__anonymous-20240809160118.jpg,section103-2.jpg,103,,
103__anonymous-20250521011148-23.jpg,section103-3.jpg,103,,
106__anonymous-20240809160013.jpg,section106-1.jpg,106,,
106__rlehman-20100810210440.jpg,section106-2.jpg,106,,
109__anonymous-20191106205850.jpg,section109-1.jpg,109,,
110__Bodester21-20160613131530.jpg,section110-1.jpg,110,,
112__Sam22-20240710140052-17.jpg,section112-1.jpg,112,,
113__anonymous-20190727162115.jpg,section113-1.jpg,113,,
113__anonymous-20250621143444-92.jpg,section113-2.jpg,113,,
114__viewfan-20190807050022.jpg,section114-1.jpg,114,,
115c__anonymous-20131117150921.jpg,section115c-1.jpg,115c,,
116__scNYC96-20150727214053.jpg,section116-1.jpg,116,,
116__scNYC96-20150727214502.jpg,section116-2.jpg,116,,
116__scNYC96-20150727214835.jpg,section116-3.jpg,116,,
116__scNYC96-20150727215125.jpg,section116-4.jpg,116,,
118__anonymous-20240630212948-48.jpg,section118-1.jpg,118,,
118__AntC9973-20250714190405.jpg,section118-2.jpg,118,,
121__anonymous-20130805091629.jpg,section121-1.jpg,121,,
123__anonymous-20160628050301.jpg,section123-1.jpg,123,,
123__anonymous-20160703094128.jpg,section123-2.jpg,123,,
123__coach-20120125173746.jpg,section123-3.jpg,123,,
123__morkel-20250727210246.jpg,section123-4.jpg,123,,
124__anonymous-20160618092808.jpg,section124-1.jpg,124,,
124__FutbolTraveler-20160804111026.jpg,section124-2.jpg,124,,
126__Randomdude-20250709100208-18.jpg,section126-1.jpg,126,,
126__weebeast-20190907003951.jpg,section126-2.jpg,126,,
128__anonymous-20240804134449.jpg,section128-1.jpg,128,,
129__anonymous-20150401171710.jpg,section129-1.jpg,129,,
134__arely-20250707121701.jpg,section134-1.jpg,134,,
139__anonymous-20250906042112.jpg,section139-1.jpg,139,,
142__anonymous-20240630142021-27.jpg,section142-1.jpg,142,,
146__anonymous-20250724091118-28.jpg,section146-1.jpg,146,,
148__anonymous-20190910112934.jpg,section148-1.jpg,148,,
149__anonymous-20150401121952.jpg,section149-1.jpg,149,,
202A__anonymous-20130804190229.jpg,section202A-1.jpg,202A,,
204__anonymous-20160625123126.jpg,section204-1.jpg,204,,
204__anonymous-20160625123434.jpg,section204-2.jpg,204,,
205a__anonymous-20180908220528.jpg,section205a-1.jpg,205a,,
205A__Sam22-20240710140200-6.jpg,section205A-1.jpg,205A,,
206a__anonymous-20250620165925-57.jpg,section206a-1.jpg,206a,,
215__anonymous-20240710102106-89.jpg,section215-1.jpg,215,,
215__DiscoFrancisco-20250709090407.jpg,section215-2.jpg,215,,
215__DiscoFrancisco-20250709090600.jpg,section215-3.jpg,215,,
219__Jenabelle-20230723154640.jpg,section219-1.jpg,219,,
223__Jackinator-20230727083220.jpg,section223-1.jpg,223,,
233__anonymous-20250713135520.jpg,section233-1.jpg,233,,
244__anonymous-20240627234231-5.jpg,section244-1.jpg,244,,
244__kcruzzz33-20250710160746.jpg,section244-2.jpg,244,,
245A__jnucum-20240804015544-56.jpg,section245A-1.jpg,245A,,
246a__anonymous-20190909015119.jpg,section246a-1.jpg,246a,,
249A__anonymous-20160805102218.jpg,section249A-1.jpg,249A,,
249A__anonymous-20160805102524.jpg,section249A-2.jpg,249A,,
249b__Zaknafein101-20250726181216.jpg,section249b-1.jpg,249b,,
250A__itsAj10-20190906234805.jpg,section250A-1.jpg,250A,,
254__PrefSoReal-20230723094427.jpg,section254-1.jpg,254,,
306__anonymous-20250709145935-28.jpg,section306-1.jpg,306,,
306__anonymous-20250709154139-83.jpg,section306-2.jpg,306,,
306__MikeDeBi-20170727211319.jpg,section306-3.jpg,306,,
309__anonymous-20240721154105-77.jpg,section309-1.jpg,309,,
313__timseal-20180913024555.jpg,section313-1.jpg,313,,
314__anonymous-20250705212939-5.jpg,section314-1.jpg,314,,
316__Lennyc1206-20240420164603.jpg,section316-1.jpg,316,,
317__anonymous-20241129220934-10.jpg,section317-1.jpg,317,,
317__anonymous-20241129221221-11.jpg,section317-2.jpg,317,,
317__anonymous-20241129221312-89.jpg,section317-3.jpg,317,,
317__Bodester21-20171210065033.jpg,section317-4.jpg,317,,
319__anonymous-20250713122849-73.jpg,section319-1.jpg,319,,
320__anonymous-20160626191341.jpg,section320-1.jpg,320,,
328__anonymous-20250707014030-52.jpg,section328-1.jpg,328,,
