old_name,new_name,section,row,seat
2SE-5__anonymous-20250403093135-45.jpg,section2SE-5-1.jpg,2SE-5,,
104__dhuanosta-20230717235758.jpg,section104-1.jpg,104,,
104__dhuanosta-20230718000049.jpg,section104-2.jpg,104,,
104__le9547-20220920090902.jpg,section104-3.jpg,104,,
204__anonymous-20240627134237-96.jpg,section204-1.jpg,204,,
204__anonymous-20250324142902-97.jpg,section204-2.jpg,204,,
207__anonymous-20250405181950-53.jpg,section207-1.jpg,207,,
212__rodriguez9alan-20250329170737.jpg,section212-1.jpg,212,,
214__anonymous-20250326174625-73.jpg,section214-1.jpg,214,,
233__jobeso-20260418174109-67.jpg,section233-1.jpg,233,,
234__Alex88156-20250327011536.jpg,section234-1.jpg,234,,
234__hichos-20250323184930.jpg,section234-2.jpg,234,,
241__anonymous-20230717022728.jpg,section241-1.jpg,241,,
329__MisterE-20231222180402.jpg,section329-1.jpg,329,,
337__anonymous-20240713222436-13.jpg,section337-1.jpg,337,,
337__anonymous-20250321005849-92.jpg,section337-2.jpg,337,,
400__anonymous-20230717145502.jpg,section400-1.jpg,400,,
400__anonymous-20250323203757.jpg,section400-2.jpg,400,,
442__anonymous-20220804014330.jpg,section442-1.jpg,442,,
450__anonymous-20250424115254-47.jpg,section450-1.jpg,450,,
455__goonerabroad-20240729021902.jpg,section455-1.jpg,455,,
514__Ariela-20230717015425.jpg,section514-1.jpg,514,,
528__anonymous-20230727185948.jpg,section528-1.jpg,528,,
529__brandxn101-20250324175110-91.jpg,section529-1.jpg,529,,
539__nicoleame-20250407223138-88.jpg,section539-1.jpg,539,,
539__tgmelmer-20240626171228.jpg,section539-2.jpg,539,,
542__anonymous-20250321020736-86.jpg,section542-1.jpg,542,,
548__hichos-20240728004618.jpg,section548-1.jpg,548,,
C117__anonymous-20240806143159-66.jpg,sectionC117-1.jpg,C117,,
C117__malibujeff-20250321095701.jpg,sectionC117-2.jpg,C117,,
C126__MortalAce-20250614221326.jpg,sectionC126-1.jpg,C126,,
C136__stefxnia-20240815210004.jpg,sectionC136-1.jpg,C136,,
C248__anonymous-20230716185641.jpg,sectionC248-1.jpg,C248,,
C250__ivergara0702-20250415151654-32.jpg,sectionC250-1.jpg,C250,,
