old_name,new_name,section,row,seat
102__ATT-Stadium-Soccer-Section-102-Row-12_on_6-23-2024_FL.jpg,section102-1.jpg,102,12,
120__ATT-Stadium-Soccer-Section-430-Row-5-v1_on_6-23-2024_FL.jpg,section120-1.jpg,120,5,
127__ATT-Stadium-Soccer-Section-127-Row-15_on_6-23-2024_FL.jpg,section127-1.jpg,127,15,
128__ATT-Stadium-Soccer-Section-128-Row-15_on_6-23-2024_FL.jpg,section128-1.jpg,128,15,
144__ATT-Stadium-Soccer-Section-144-Row-11_on_6-23-2024_FL.jpg,section144-1.jpg,144,11,
145__ATT-Stadium-Soccer-Section-145-Row-11_on_6-23-2024_FL.jpg,section145-1.jpg,145,11,
219__ATT-Stadium-Soccer-Section-430-Row-5-v1_on_6-23-2024_FL.jpg,section219-1.jpg,219,5,
226__ATT-Stadium-Soccer-Section-430-Row-5-v1_on_6-23-2024_FL.jpg,section226-1.jpg,226,5,
227__ATT-Stadium-Soccer-Section-227-Row-15_on_6-23-2024_FL.jpg,section227-1.jpg,227,15,
228__ATT-Stadium-Soccer-Section-430-Row-5-v1_on_6-23-2024_FL.jpg,section228-1.jpg,228,5,
242__ATT-Stadium-Soccer-Section-242-Row-15_on_6-23-2024_FL.jpg,section242-1.jpg,242,15,
243__ATT-Stadium-Soccer-Section-243-Row-15_on_6-23-2024_FL.jpg,section243-1.jpg,243,15,
302__ATT-Stadium-Soccer-Section-302-Row-11_on_6-23-2024_FL.jpg,section302-1.jpg,302,11,
303__ATT-Stadium-Soccer-Section-303-Row-11_on_6-23-2024_FL.jpg,section303-1.jpg,303,11,
316__ATT-Stadium-Soccer-Section-316-Row-12_on_6-23-2024_FL.jpg,section316-1.jpg,316,12,
328__ATT-Stadium-Soccer-Section-328-Row-12_on_6-23-2024_FL.jpg,section328-1.jpg,328,12,
329__ATT-Stadium-Soccer-Section-329-Row-12_on_6-23-2024_FL.jpg,section329-1.jpg,329,12,
330__ATT-Stadium-Soccer-Section-330-Row-12_on_6-23-2024_FL.jpg,section330-1.jpg,330,12,
341__ATT-Stadium-Soccer-Section-341-Row-12_on_6-23-2024_FL.jpg,section341-1.jpg,341,12,
342__ATT-Stadium-Soccer-Section-342-Row-12_on_6-23-2024_FL.jpg,section342-1.jpg,342,12,
343__ATT-Stadium-Soccer-Section-343-Row-12_on_6-23-2024_FL.jpg,section343-1.jpg,343,12,
346__ATT-Stadium-Soccer-Section-346-Row-5-v1_on_6-23-2024_FL.jpg,section346-1.jpg,346,5,
348__ATT-Stadium-Soccer-Section-430-Row-5-v1_on_6-23-2024_FL.jpg,section348-1.jpg,348,5,
402__ATT-Stadium-Soccer-Section-402-Row-3-v1_on_6-23-2024_FL.jpg,section402-1.jpg,402,3,
405__ATT-Stadium-Soccer-Section-405-Row-5-v1_on_6-23-2024_FL.jpg,section405-1.jpg,405,5,
406__ATT-Stadium-Soccer-Section-406-Row-6-v1_on_6-23-2024_FL.jpg,section406-1.jpg,406,6,
407__ATT-Stadium-Soccer-Section-407-Row-6-v1_on_6-23-2024_FL.jpg,section407-1.jpg,407,6,
410__ATT-Stadium-Soccer-Section-410-Row-6-v1_on_6-23-2024_FL.jpg,section410-1.jpg,410,6,
411__ATT-Stadium-Soccer-Section-411-Row-5-v1_on_6-23-2024_FL.jpg,section411-1.jpg,411,5,
412__ATT-Stadium-Soccer-Section-412-Row-3-v1_on_6-23-2024_FL.jpg,section412-1.jpg,412,3,
413__ATT-Stadium-Soccer-Section-413-Row-6-v1_on_6-23-2024_FL.jpg,section413-1.jpg,413,6,
415__ATT-Stadium-Soccer-Section-415-Row-6-v1_on_6-23-2024_FL.jpg,section415-1.jpg,415,6,
417__ATT-Stadium-Soccer-Section-430-Row-5-v1_on_6-23-2024_FL.jpg,section417-1.jpg,417,5,
418__ATT-Stadium-Soccer-Section-418-Row-6-v1_on_6-23-2024_FL.jpg,section418-1.jpg,418,6,
420__ATT-Stadium-Soccer-Section-420-Row-6-v1_on_6-23-2024_FL.jpg,section420-1.jpg,420,6,
