old_name,new_name,section,row,seat
104__BMO-Field-Soccer-Section-104-Row-20_on_5-11-2024_FL.jpg,section104-1.jpg,104,20,
105__BMO-Field-Soccer-Section-105-Row-20_on_5-11-2024_FL.jpg,section105-1.jpg,105,20,
111__BMO-Field-Soccer-Section-111-Row-20_on_5-11-2024_FL.jpg,section111-1.jpg,111,20,
112__BMO-Field-Soccer-Section-112-Row-20_on_5-11-2024_FL.jpg,section112-1.jpg,112,20,
113__BMO-Field-Soccer-Section-113-Row-20_on_5-11-2024_FL.jpg,section113-1.jpg,113,20,
114__BMO-Field-Soccer-Section-114-Row-20_on_5-11-2024_FL.jpg,section114-1.jpg,114,20,
115__BMO-Field-Soccer-Section-115-Row-20_on_5-11-2024_FL.jpg,section115-1.jpg,115,20,
116__BMO-Field-Soccer-Section-116-Row-10_on_5-11-2024_FL.jpg,section116-1.jpg,116,10,
117__BMO-Field-Soccer-Section-117-Row-20_on_5-11-2024_FL.jpg,section117-1.jpg,117,20,
118__BMO-Field-Soccer-Section-118-Row-18_on_5-11-2024_FL.jpg,section118-1.jpg,118,18,
120__BMO-Field-Soccer-Section-120-Row-18_on_5-11-2024_FL.jpg,section120-1.jpg,120,18,
129__bmo-fieldlower-level-20240514_6965.jpg,section129-1.jpg,129,,
130__bmo-fieldlower-level-20240514_6965.jpg,section130-1.jpg,130,,
201__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section201-1.jpg,201,20,
203__BMO-Field-Soccer-Section-203-Row-5_on_5-11-2024_FL.jpg,section203-1.jpg,203,5,
204__BMO-Field-Soccer-Section-204-Row-5_on_5-11-2024_FL.jpg,section204-1.jpg,204,5,
205__BMO-Field-Soccer-Section-205-Row-5_on_5-11-2024_FL.jpg,section205-1.jpg,205,5,
207__BMO-Field-Soccer-Section-207-Row-5_on_5-11-2024_FL.jpg,section207-1.jpg,207,5,
209__BMO-Field-Soccer-Section-209-Row-5_on_5-11-2024_FL.jpg,section209-1.jpg,209,5,
210__BMO-Field-Soccer-Section-210-Row-5_on_5-11-2024_FL.jpg,section210-1.jpg,210,5,
211__BMO-Field-Soccer-Section-211-Row-5_on_5-11-2024_FL.jpg,section211-1.jpg,211,5,
212__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section212-1.jpg,212,20,
217__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section217-1.jpg,217,20,
218__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section218-1.jpg,218,20,
219__BMO-Field-Soccer-Section-219-Row-2_on_5-11-2024_FL.jpg,section219-1.jpg,219,2,
227__1565912422_60924314.jpg,section227-1.jpg,227,,
228__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section228-1.jpg,228,20,
229__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section229-1.jpg,229,20,
230__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section230-1.jpg,230,20,
231__BMO-Field-Soccer-Section-210-Row-20_on_5-11-2024_FL.jpg,section231-1.jpg,231,20,
