old_name,new_name,section,row,seat
101__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section101-1.jpg,101,25,
102__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section102-1.jpg,102,25,
103__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section103-1.jpg,103,25,
104__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section104-1.jpg,104,25,
105__1561595752_52195661.jpg,section105-1.jpg,105,,
106__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section106-1.jpg,106,25,
109__Gillette-Stadium-Soccer-Section-109-Row-25_on_6-26-2019_FL.jpg,section109-1.jpg,109,25,
110__Gillette-Stadium-Soccer-Section-110-Row-25_on_6-26-2019_FL.jpg,section110-1.jpg,110,25,
111__Gillette-Stadium-Soccer-Section-111-Row-25_on_6-26-2019_FL.jpg,section111-1.jpg,111,25,
113__Gillette-Stadium-Soccer-Section-113-Row-25_on_6-26-2019_FL.jpg,section113-1.jpg,113,25,
115__Gillette-Stadium-Soccer-Section-115-Row-25_on_6-26-2019_FL.jpg,section115-1.jpg,115,25,
116__Gillette-Stadium-Soccer-Section-116-Row-25_on_6-26-2019_FL.jpg,section116-1.jpg,116,25,
118__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section118-1.jpg,118,25,
119__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section119-1.jpg,119,25,
123__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section123-1.jpg,123,25,
124__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section124-1.jpg,124,25,
125__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section125-1.jpg,125,25,
126__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section126-1.jpg,126,25,
127__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section127-1.jpg,127,25,
128__Gillette-Stadium-Soccer-Section-128-Row-25_2_on_6-26-2019_FL.jpg,section128-1.jpg,128,25,
130__1561593915_66302743.jpg,section130-1.jpg,130,,
133__Gillette-Stadium-Soccer-Section-133-Row-25_on_6-26-2019_FL.jpg,section133-1.jpg,133,25,
134__Gillette-Stadium-Soccer-Section-134-Row-25_2_on_6-26-2019_FL.jpg,section134-1.jpg,134,25,
135__Gillette-Stadium-Soccer-Section-135-Row-25_on_6-26-2019_FL.jpg,section135-1.jpg,135,25,
136__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section136-1.jpg,136,25,
137__Gillette-Stadium-Soccer-Section-137-Row-25_on_6-26-2019_FL.jpg,section137-1.jpg,137,25,
139__Gillette-Stadium-Soccer-Section-139-Row-25_on_6-26-2019_FL.jpg,section139-1.jpg,139,25,
140__Gillette-Stadium-Soccer-Section-140-Row-25_on_6-26-2019_FL.jpg,section140-1.jpg,140,25,
143__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section143-1.jpg,143,25,
214__1402328099_98292147.jpg,section214-1.jpg,214,,
223__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section223-1.jpg,223,25,
224__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section224-1.jpg,224,25,
225__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section225-1.jpg,225,25,
226__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section226-1.jpg,226,25,
237__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section237-1.jpg,237,25,
238__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section238-1.jpg,238,25,
239__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section239-1.jpg,239,25,
240__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section240-1.jpg,240,25,
301__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section301-1.jpg,301,25,
304__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section304-1.jpg,304,25,
305__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section305-1.jpg,305,25,
306__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section306-1.jpg,306,25,
307__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section307-1.jpg,307,25,
309__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section309-1.jpg,309,25,
310__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section310-1.jpg,310,25,
311__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section311-1.jpg,311,25,
313__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section313-1.jpg,313,25,
324__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section324-1.jpg,324,25,
325__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section325-1.jpg,325,25,
328__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section328-1.jpg,328,25,
330__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section330-1.jpg,330,25,
332__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section332-1.jpg,332,25,
333__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section333-1.jpg,333,25,
335__Gillette-Stadium-Soccer-Section-136-Row-25_2_on_6-26-2019_FL.jpg,section335-1.jpg,335,25,
