old_name,new_name,section,row,seat
101__Levis-Stadium-Soccer-Section-101-Row-16_on_6-22-2024_FL.jpg,section101-1.jpg,101,16,
102__Levis-Stadium-Soccer-Section-102-Row-16_on_6-22-2024_FL.jpg,section102-1.jpg,102,16,
105__Levis-Stadium-Soccer-Section-105-Row-31_on_6-22-2024_FL.jpg,section105-1.jpg,105,31,
107__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section107-1.jpg,107,16,
108__Levis-Stadium-Soccer-Section-108-Row-16_on_6-22-2024_FL.jpg,section108-1.jpg,108,16,
109__Levis-Stadium-Soccer-Section-109-Row-31_on_6-22-2024_FL.jpg,section109-1.jpg,109,31,
111__Levis-Stadium-Soccer-Section-111-Row-31_on_6-22-2024_FL.jpg,section111-1.jpg,111,31,
121__Levis-Stadium-Soccer-Section-121-Row-31_on_6-22-2024_FL.jpg,section121-1.jpg,121,31,
122__Levis-Stadium-Soccer-Section-122-Row-10_on_6-22-2024_FL.jpg,section122-1.jpg,122,10,
126__Levis-Stadium-Soccer-Section-126-Row-10_on_6-22-2024_FL.jpg,section126-1.jpg,126,10,
127__Levis-Stadium-Soccer-Section-127-Row-31_on_6-22-2024_FL.jpg,section127-1.jpg,127,31,
129__Levis-Stadium-Soccer-Section-129-Row-10_on_6-22-2024_FL.jpg,section129-1.jpg,129,10,
131__Levis-Stadium-Soccer-Section-131-Row-10_on_6-22-2024_FL.jpg,section131-1.jpg,131,10,
133__Levis-Stadium-Soccer-Section-133-Row-10_on_6-22-2024_FL.jpg,section133-1.jpg,133,10,
143__Levis-Stadium-Soccer-Section-143-Row-16_on_6-22-2024_FL.jpg,section143-1.jpg,143,16,
201__Levis-Stadium-Soccer-Section-201-Row-20_on_6-22-2024_FL.jpg,section201-1.jpg,201,20,
202__Levis-Stadium-Soccer-Section-202-Row-20_on_6-22-2024_FL.jpg,section202-1.jpg,202,20,
203__Levis-Stadium-Soccer-Section-203-Row-9_on_6-22-2024_FL.jpg,section203-1.jpg,203,9,
204__Levis-Stadium-Soccer-Section-204-Row-9_on_6-22-2024_FL.jpg,section204-1.jpg,204,9,
206__Levis-Stadium-Soccer-Section-206-Row-20_on_6-22-2024_FL.jpg,section206-1.jpg,206,20,
207__Levis-Stadium-Soccer-Section-207-Row-20_on_6-22-2024_FL.jpg,section207-1.jpg,207,20,
208__Levis-Stadium-Soccer-Section-208-Row-9_on_6-22-2024_FL.jpg,section208-1.jpg,208,9,
211__Levis-Stadium-Soccer-Section-211-Row-20_on_6-22-2024_FL.jpg,section211-1.jpg,211,20,
221__Levis-Stadium-Soccer-Section-221-Row-6_on_6-22-2024_FL.jpg,section221-1.jpg,221,6,
222__Levis-Stadium-Soccer-Section-222-Row-6_on_6-22-2024_FL.jpg,section222-1.jpg,222,6,
224__Levis-Stadium-Soccer-Section-224-Row-6_on_6-22-2024_FL.jpg,section224-1.jpg,224,6,
225__Levis-Stadium-Soccer-Section-225-Row-20_on_6-22-2024_FL.jpg,section225-1.jpg,225,20,
226__Levis-Stadium-Soccer-Section-226-Row-20_on_6-22-2024_FL.jpg,section226-1.jpg,226,20,
229__Levis-Stadium-Soccer-Section-229-Row-20_on_6-22-2024_FL.jpg,section229-1.jpg,229,20,
230__Levis-Stadium-Soccer-Section-230-Row-20_on_6-22-2024_FL.jpg,section230-1.jpg,230,20,
231__Levis-Stadium-Soccer-Section-231-Row-20_on_6-22-2024_FL.jpg,section231-1.jpg,231,20,
323__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section323-1.jpg,323,16,
324__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section324-1.jpg,324,16,
325__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section325-1.jpg,325,16,
326__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section326-1.jpg,326,16,
328__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section328-1.jpg,328,16,
401__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section401-1.jpg,401,16,
402__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section402-1.jpg,402,16,
403__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section403-1.jpg,403,16,
404__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section404-1.jpg,404,16,
405__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section405-1.jpg,405,16,
406__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section406-1.jpg,406,16,
407__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section407-1.jpg,407,16,
409__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section409-1.jpg,409,16,
411__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section411-1.jpg,411,16,
413__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section413-1.jpg,413,16,
414__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section414-1.jpg,414,16,
415__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section415-1.jpg,415,16,
416__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section416-1.jpg,416,16,
417__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section417-1.jpg,417,16,
418__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section418-1.jpg,418,16,
419__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section419-1.jpg,419,16,
420__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section420-1.jpg,420,16,
421__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section421-1.jpg,421,16,
422__Levis-Stadium-Soccer-Section-107-Row-16_on_6-22-2024_FL.jpg,section422-1.jpg,422,16,
