old_name,new_name,section,row,seat
102__Lincoln-Financial-Field-Soccer-Section-102-Row-14_on_6-16-2025_FL.jpg,section102-1.jpg,102,14,
105__Lincoln-Financial-Field-Soccer-Section-105-Row-14_on_6-16-2025_FL.jpg,section105-1.jpg,105,14,
106__Lincoln-Financial-Field-Soccer-Section-106-Row-14_on_6-16-2025_FL.jpg,section106-1.jpg,106,14,
107__Lincoln-Financial-Field-Soccer-Section-107-Row-14_on_6-16-2025_FL.jpg,section107-1.jpg,107,14,
110__Lincoln-Financial-Field-Soccer-Section-110-Row-14_on_6-16-2025_FL.jpg,section110-1.jpg,110,14,
111__Lincoln-Financial-Field-Soccer-Section-111-Row-14_on_6-16-2025_FL.jpg,section111-1.jpg,111,14,
114__Lincoln-Financial-Field-Soccer-Section-114-Row-14_on_6-16-2025_FL.jpg,section114-1.jpg,114,14,
116__Lincoln-Financial-Field-Soccer-Section-116-Row-14_on_6-16-2025_FL.jpg,section116-1.jpg,116,14,
117__Lincoln-Financial-Field-Soccer-Section-117-Row-14_on_6-16-2025_FL.jpg,section117-1.jpg,117,14,
118__Lincoln-Financial-Field-Soccer-Section-118-Row-14_on_6-16-2025_FL.jpg,section118-1.jpg,118,14,
119__Lincoln-Financial-Field-Soccer-Section-119-Row-14_on_6-16-2025_FL.jpg,section119-1.jpg,119,14,
120__Lincoln-Financial-Field-Soccer-Section-120-Row-14_on_6-16-2025_FL.jpg,section120-1.jpg,120,14,
121__Lincoln-Financial-Field-Soccer-Section-121-Row-14_on_6-16-2025_FL.jpg,section121-1.jpg,121,14,
123__Lincoln-Financial-Field-Soccer-Section-123-Row-14_on_6-16-2025_FL.jpg,section123-1.jpg,123,14,
126__Lincoln-Financial-Field-Soccer-Section-126-Row-14_on_6-16-2025_FL.jpg,section126-1.jpg,126,14,
128__Lincoln-Financial-Field-Soccer-Section-128-Row-14_on_6-16-2025_FL.jpg,section128-1.jpg,128,14,
129__Lincoln-Financial-Field-Soccer-Section-129-Row-14_on_6-16-2025_FL.jpg,section129-1.jpg,129,14,
130__Lincoln-Financial-Field-Soccer-Section-130-Row-28_on_6-16-2025_FL.jpg,section130-1.jpg,130,28,
132__Lincoln-Financial-Field-Soccer-Section-132-Row-14_on_6-16-2025_FL.jpg,section132-1.jpg,132,14,
133__Lincoln-Financial-Field-Soccer-Section-133-Row-14_on_6-16-2025_FL.jpg,section133-1.jpg,133,14,
137__Lincoln-Financial-Field-Soccer-Section-137-Row-14_on_6-16-2025_FL.jpg,section137-1.jpg,137,14,
138__Lincoln-Financial-Field-Soccer-Section-138-Row-14_on_6-16-2025_FL.jpg,section138-1.jpg,138,14,
201__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section201-1.jpg,201,28,
202__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section202-1.jpg,202,28,
207__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section207-1.jpg,207,28,
209__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section209-1.jpg,209,28,
211__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section211-1.jpg,211,28,
212__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section212-1.jpg,212,28,
213__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section213-1.jpg,213,28,
216__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section216-1.jpg,216,28,
217__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section217-1.jpg,217,28,
218__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section218-1.jpg,218,28,
219__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section219-1.jpg,219,28,
220__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section220-1.jpg,220,28,
222__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section222-1.jpg,222,28,
224__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section224-1.jpg,224,28,
225__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section225-1.jpg,225,28,
227__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section227-1.jpg,227,28,
229__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section229-1.jpg,229,28,
230__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section230-1.jpg,230,28,
232__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section232-1.jpg,232,28,
233__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section233-1.jpg,233,28,
237__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section237-1.jpg,237,28,
239__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section239-1.jpg,239,28,
240__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section240-1.jpg,240,28,
241__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section241-1.jpg,241,28,
242__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section242-1.jpg,242,28,
243__Lincoln-Financial-Field-Soccer-Section-129-Row-28_on_6-16-2025_FL.jpg,section243-1.jpg,243,28,
