old_name,new_name,section,row,seat
101__MetLife-Stadium-Soccer-Section-101-Row-21_on_6-15-2025_FL.jpg,section101-1.jpg,101,21,
106__MetLife-Stadium-Soccer-Section-106-Row-20_on_6-15-2025_FL.jpg,section106-1.jpg,106,20,
108__MetLife-Stadium-Soccer-Section-108-Row-20_on_6-15-2025_FL.jpg,section108-1.jpg,108,20,
126__MetLife-Stadium-Soccer-Section-126-Row-20_on_6-15-2025_FL.jpg,section126-1.jpg,126,20,
131__MetLife-Stadium-Soccer-Section-131-Row-20_on_6-15-2025_FL.jpg,section131-1.jpg,131,20,
201__MetLife-Stadium-Soccer-Section-201-Row-10_on_6-15-2025_FL.jpg,section201-1.jpg,201,10,
202B__MetLife-Stadium-Soccer-Section-202B-Row-18_on_6-15-2025_FL.jpg,section202B-1.jpg,202B,18,
203B__MetLife-Stadium-Soccer-Section-203B-Row-18_on_6-15-2025_FL.jpg,section203B-1.jpg,203B,18,
224B__MetLife-Stadium-Soccer-Section-224B-Row-18_on_6-15-2025_FL.jpg,section224B-1.jpg,224B,18,
225B__MetLife-Stadium-Soccer-Section-225B-Row-8_on_6-15-2025_FL.jpg,section225B-1.jpg,225B,8,
227B__MetLife-Stadium-Soccer-Section-227B-Row-8_on_6-15-2025_FL.jpg,section227B-1.jpg,227B,8,
228B__MetLife-Stadium-Soccer-Section-228B-Row-8_on_6-15-2025_FL.jpg,section228B-1.jpg,228B,8,
247__MetLife-Stadium-Soccer-Section-247A-Row-10_on_6-15-2025_FL.jpg,section247-1.jpg,247,10,
249B__MetLife-Stadium-Soccer-Section-249B-Row-10_on_6-15-2025_FL.jpg,section249B-1.jpg,249B,10,
250B__MetLife-Stadium-Soccer-Section-250B-Row-10_on_6-15-2025_FL.jpg,section250B-1.jpg,250B,10,
301__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section301-1.jpg,301,12,
303__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section303-1.jpg,303,12,
304__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section304-1.jpg,304,12,
306__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section306-1.jpg,306,12,
307__MetLife-Stadium-Soccer-Section-307-Row-20_on_6-15-2025_FL.jpg,section307-1.jpg,307,20,
310__MetLife-Stadium-Soccer-Section-310-Row-13_on_6-15-2025_FL.jpg,section310-1.jpg,310,13,
311__MetLife-Stadium-Soccer-Section-311-Row-20_on_6-15-2025_FL.jpg,section311-1.jpg,311,20,
313__MetLife-Stadium-Soccer-Section-313-Row-12_on_6-15-2025_FL.jpg,section313-1.jpg,313,12,
314__MetLife-Stadium-Soccer-Section-314-Row-20_on_6-15-2025_FL.jpg,section314-1.jpg,314,20,
316__MetLife-Stadium-Soccer-Section-316-Row-20_on_6-15-2025_FL.jpg,section316-1.jpg,316,20,
317__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section317-1.jpg,317,12,
318__MetLife-Stadium-Soccer-Section-318-Row-20_on_6-15-2025_FL.jpg,section318-1.jpg,318,20,
320__MetLife-Stadium-Soccer-Section-320-Row-12_on_6-15-2025_FL.jpg,section320-1.jpg,320,12,
321__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section321-1.jpg,321,12,
322__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section322-1.jpg,322,12,
323__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section323-1.jpg,323,12,
324__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section324-1.jpg,324,12,
325__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section325-1.jpg,325,12,
326__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section326-1.jpg,326,12,
327__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section327-1.jpg,327,12,
328__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section328-1.jpg,328,12,
331__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section331-1.jpg,331,12,
332__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section332-1.jpg,332,12,
333__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section333-1.jpg,333,12,
334__MetLife-Stadium-Soccer-Section-317-Row-12_on_6-15-2025_FL.jpg,section334-1.jpg,334,12,
